source_url,canonical_url,lang,destination,page_type,status,redirect_type,notes
https://www.andetag.museum/en/stockholm/about-the-artists-malin-gustaf-tadaa/,https://www.andetag.museum/en/stockholm/about-the-artists-malin-gustaf-tadaa/,en,stockholm,content,keep,none,shell canonical
https://www.andetag.museum/en/stockholm/accessibility/,https://www.andetag.museum/en/stockholm/accessibility/,en,stockholm,content,keep,none,shell canonical
https://www.andetag.museum/en/stockholm/art-yoga/,https://www.andetag.museum/en/stockholm/art-yoga/,en,stockholm,content,keep,none,shell canonical
https://www.andetag.museum/en/stockholm/corporate-events/,https://www.andetag.museum/en/stockholm/corporate-events/,en,stockholm,content,keep,none,shell canonical
https://www.andetag.museum/en/stockholm/date/,https://www.andetag.museum/en/stockholm/date/,en,stockholm,content,keep,none,shell canonical
https://www.andetag.museum/en/stockholm/event-stockholm/,https://www.andetag.museum/en/stockholm/event-stockholm/,en,stockholm,content,keep,none,shell canonical
https://www.andetag.museum/en/stockholm/exhibition-stockholm/,https://www.andetag.museum/en/stockholm/exhibition-stockholm/,en,stockholm,content,keep,none,shell canonical
https://www.andetag.museum/en/stockholm/faq/,https://www.andetag.museum/en/stockholm/faq/,en,stockholm,content,keep,none,shell canonical
https://www.andetag.museum/en/stockholm/giftcard/,https://www.andetag.museum/en/stockholm/giftcard/,en,stockholm,content,keep,none,shell canonical
https://www.andetag.museum/en/stockholm/group-bookings/,https://www.andetag.museum/en/stockholm/group-bookings/,en,stockholm,content,keep,none,shell canonical
https://www.andetag.museum/en/stockholm/how-to-find-us/,https://www.andetag.museum/en/stockholm/how-to-find-us/,en,stockholm,content,keep,none,shell canonical
https://www.andetag.museum/en/stockholm/indoor-activity-stockholm/,https://www.andetag.museum/en/stockholm/indoor-activity-stockholm/,en,stockholm,content,keep,none,shell canonical
https://www.andetag.museum/en/stockholm/meditation-stockholm/,https://www.andetag.museum/en/stockholm/meditation-stockholm/,en,stockholm,content,keep,none,shell canonical
https://www.andetag.museum/en/stockholm/museum-stockholm/,https://www.andetag.museum/en/stockholm/museum-stockholm/,en,stockholm,content,keep,none,shell canonical
https://www.andetag.museum/en/stockholm/music/,https://www.andetag.museum/en/stockholm/music/,en,stockholm,content,keep,none,shell canonical
https://www.andetag.museum/en/stockholm/neurodivergent-art/,https://www.andetag.museum/en/stockholm/neurodivergent-art/,en,stockholm,content,keep,none,shell canonical
https://www.andetag.museum/en/stockholm/opening-hours/,https://www.andetag.museum/en/stockholm/opening-hours/,en,stockholm,content,keep,none,shell canonical
